0.000000	4.000000	0.000000	0.652983	0.000113	
0.100000	3.467094	0.003512	0.771817	0.000852	
0.200000	2.949405	0.004989	0.898309	0.000994	
0.300000	2.461511	0.016702	1.028020	0.003408	
0.400000	2.045162	0.006217	1.151483	0.002189	
0.500000	1.656198	0.006556	1.273967	0.001822	
0.600000	1.358511	0.007289	1.378635	0.002414	
0.700000	1.079828	0.010214	1.482881	0.004217	
0.800000	0.831585	0.018537	1.573584	0.004299	
0.900000	0.675228	0.011332	1.639020	0.003552	
1.000000	0.518146	0.025349	1.711090	0.012266	
1.100000	0.428442	0.005492	1.749096	0.002332	
1.200000	0.327941	0.005946	1.793806	0.002016	
1.300000	0.236922	0.027514	1.827566	0.004663	
1.400000	0.195956	0.014450	1.858268	0.009694	
1.500000	0.153420	0.004557	1.873313	0.001266	
1.600000	0.122319	0.004986	1.889381	0.001353	
1.700000	0.102940	0.002420	1.900806	0.000846	
1.800000	0.076023	0.004845	1.913157	0.001493	
1.900000	0.043231	0.012381	1.924614	0.003100	
2.000000	0.046578	0.002985	1.927453	0.001232	
2.100000	0.034377	0.003321	1.933182	0.001272	
2.200000	0.023139	0.006131	1.938397	0.001749	
2.300000	0.030482	0.002337	1.937420	0.000878	
2.400000	0.020538	0.002983	1.941581	0.001165	
2.500000	-0.007002	0.020217	1.951355	0.007958	
2.600000	0.011314	0.004163	1.945254	0.001639	
2.700000	0.015110	0.002769	1.944230	0.001122	
2.800000	0.007417	0.004881	1.947372	0.001758	
2.900000	-0.005052	0.007374	1.952003	0.002672	
3.000000	0.004141	0.005271	1.949488	0.003215	
